 TIMESTAMP 	 VALUE0 	 VALUE1 	 VALUE2 	 VALUE_MEAN 
3.983	118.1252	13.9682	5.9211	119.0954781320013
3.993	118.2262	14.0644	5.9679	119.20930141650022
4.003	118.2262	14.0644	5.9679	119.20930141650022
4.012	118.3116	14.2107	5.9837	119.312125765741
4.023	118.3615	14.3448	5.9495	119.37593777449457
4.034	118.4084	14.4969	5.8775	119.43724003182592
4.043	118.4281	14.6582	5.7705	119.47123656805432
4.054	118.4709	14.8184	5.6665	119.52844158450323
4.063	118.5353	14.9678	5.5713	119.60640353517867
4.073	118.5981	15.0838	5.5094	119.6803402168042
4.083	118.6934	15.1467	5.4552	119.78023598027346
4.093	118.6934	15.1467	5.4552	119.78023598027346
4.103	118.8267	15.1365	5.3538	119.90646954847767
4.113	118.9781	15.0504	5.218	120.03970319760874
4.128	119.1476	14.9621	5.0585	120.18986415010211
4.143	119.3207	14.8701	4.9151	120.34412129601512
4.145	119.495	14.8238	4.8261	120.50764005925102
4.153	119.6577	14.8411	4.8199	120.6708533760742
4.163	119.7823	14.8576	4.8504	120.79765747401727
4.172	119.8407	14.9419	4.9154	120.86858528691398
4.183	119.8943	15.108	4.9597	120.9441749758127
4.194	119.9284	15.2356	4.9572	120.99387780280455
4.203	119.9801	15.3608	4.9312	121.05988314090675
4.212	119.9801	15.3608	4.9312	121.05988314090675
4.222	120.0462	15.4638	4.8929	121.13694612004217
4.232	120.136	15.5658	4.858	121.2375881879873
4.242	120.2495	15.667	4.8264	121.36181968069694
4.255	120.371	15.7795	4.8164	121.49637019355762
4.263	120.371	15.7795	4.8164	121.49637019355762
4.273	120.6396	15.9894	4.822	121.79008861364704
4.285	120.7953	16.049	4.82	121.95206969580303
4.294	120.9579	16.0752	4.7843	122.11517167796964
4.307	121.1538	16.0485	4.7557	122.30459635344864
4.313	121.3595	15.9698	4.7305	122.49710356796197
4.323	121.3595	15.9698	4.7305	122.49710356796197
4.343	121.7145	15.769	4.6838	122.82108472770463
4.355	121.8323	15.6955	4.6716	122.92795406293884
4.368	121.9192	15.6561	4.6901	123.00976316479925
4.399	121.9154	15.6506	4.6795	123.0048932269363
4.407	121.8653	15.657	4.6569	122.95519391510064
4.414	121.8396	15.6479	4.6589	122.92863885921784
4.424	121.847	15.6003	4.6462	122.9294429480993
4.434	121.8376	15.5206	4.5962	122.90815616776618
4.446	121.8453	15.4143	4.5494	122.90067053088035
4.457	121.8453	15.4143	4.5494	122.90067053088035
4.466	121.8587	15.3237	4.5081	122.90110460443388
4.476	121.8587	15.3237	4.5081	122.90110460443388
4.487	121.6962	15.1893	4.4712	122.72192778134641
4.496	121.6962	15.1893	4.4712	122.72192778134641
4.507	121.6099	15.1997	4.4956	122.63853015043844
4.516	121.5033	15.231	4.5062	122.53710095448643
4.526	121.4556	15.2328	4.4998	122.48979209403534
4.537	121.3846	15.1768	4.4566	122.41085596857822
4.546	121.3949	15.0804	4.4051	122.40729192405165
4.557	121.4152	14.9464	4.3357	122.40851260631345
4.566	121.4152	14.9464	4.3357	122.40851260631345
4.587	121.446	14.6917	4.2418	122.4049420249444
4.59	121.4481	14.6041	4.251	122.3968616077226
4.594	121.4481	14.6041	4.251	122.3968616077226
4.605	121.4164	14.555	4.275	122.36039326089141
4.614	121.3313	14.522	4.3641	122.27517414626732
4.624	121.3313	14.522	4.3641	122.27517414626732
4.639	121.2861	14.505	4.3954	122.22942615986545
4.644	121.2779	14.4694	4.4011	122.21727474453029
4.658	121.2798	14.3962	4.389	122.21008053135388
4.669	121.2902	14.2899	4.3432	122.20628970838612
4.673	121.2902	14.2899	4.3432	122.20628970838612
4.684	121.3324	14.0563	4.2655	122.21835111676153
4.694	121.3538	13.9667	4.2513	122.22883062117546
4.712	121.3565	13.8935	4.2393	122.22275196946761
4.733	121.3404	13.8368	4.2295	122.19999335781488
4.736	121.3085	13.8165	4.2111	122.16538465420554
4.747	121.2393	13.8147	4.2184	122.09671862560434
4.753	121.1683	13.8173	4.2098	122.02621488934253
4.764	121.0959	13.8099	4.2067	121.95337904178793
4.773	121.0439	13.796	4.1959	121.89979868736454
4.784	121.0122	13.7757	4.1776	121.86539624146799
4.795	121.0214	13.728	4.1654	121.86873183520045
4.807	121.0496	13.664	4.151	121.88905347552749
4.812	121.0858	13.6212	4.1521	121.92025256490408
4.823	121.0825	13.6156	4.1416	121.91599247092236
4.832	121.0703	13.6432	4.1648	121.90775203968778
4.843	121.0703	13.6432	4.1648	121.90775203968778
4.853	121.0703	13.6432	4.1648	121.90775203968778
4.862	121.0175	13.7096	4.2951	121.86728979681135
4.874	120.9735	13.7571	4.3705	121.83163289109278
4.883	120.9735	13.7571	4.3705	121.83163289109278
4.892	120.9826	13.7898	4.4994	121.84905698100417
4.903	121.0115	13.7901	4.5287	121.8788706624327
4.914	121.0355	13.7748	4.5529	121.9018714938372
4.922	121.0715	13.7319	4.554	121.93281800179966
4.932	121.1094	13.6845	4.571	121.96575892278126
4.943	121.1094	13.6845	4.571	121.96575892278126
4.953	121.1219	13.6425	4.5692	121.97339896264266
4.962	121.1146	13.5926	4.5965	121.96160428663605
4.972	121.1146	13.5926	4.5965	121.96160428663605
4.982	121.0265	13.5159	4.7242	121.87046943661126
4.993	120.9623	13.4914	4.7851	121.80637535556174
5.003	120.9623	13.4914	4.7851	121.80637535556174
5.013	120.8746	13.4679	4.8433	121.7189829503188
5.023	120.6548	13.4716	4.9004	121.5034101980681
5.033	120.6548	13.4716	4.9004	121.5034101980681
5.043	120.5653	13.4669	4.9213	121.41485968937245
5.057	120.3433	13.4653	4.9682	121.19615163122961
5.063	120.3433	13.4653	4.9682	121.19615163122961
5.072	120.2344	13.4674	4.9969	121.08943312993912
5.083	120.1304	13.4852	5.0305	120.98954315745638
5.093	120.0336	13.5143	5.085	120.89896053502694
5.103	119.92	13.5701	5.1361	120.79459233434252
5.113	119.8137	13.6374	5.2079	120.6997249742517
5.122	119.8137	13.6374	5.2079	120.6997249742517
5.133	119.6117	13.7796	5.3885	120.5233258971059
5.143	119.4873	13.8541	5.4678	120.41199186517927
5.153	119.3856	13.9417	5.5283	120.32395682963555
5.169	119.3001	14.0169	5.5706	120.24981883553922
5.172	119.2077	14.0807	5.5919	120.16659767751602
5.183	119.2077	14.0807	5.5919	120.16659767751602
5.192	119.1205	14.1601	5.618	120.0906485795626
5.203	119.0422	14.2609	5.6593	120.02685668690985
5.212	118.9073	14.4063	5.6959	119.9121793221606
5.222	118.7387	14.5713	5.7579	119.76792172276348
5.232	118.5257	14.7387	5.8137	119.5799730133353
5.242	118.2861	14.8919	5.8613	119.36383445797141
5.253	118.0585	15.0031	5.9077	119.15453558782393
5.263	117.811	15.0519	5.9349	118.91683838977558
5.272	117.5834	15.0202	5.9445	118.68782348602572
5.282	117.3782	14.9275	5.9254	118.47186356536307
5.292	117.1764	14.8178	5.8356	118.25366861607297
5.307	116.9884	14.6854	5.6251	118.04062206600743
5.313	116.8103	14.5508	5.349	117.83456100707465
5.342	116.3639	14.5075	4.7988	117.36291262958669
5.355	115.8118	14.8397	4.6586	116.85158222844053
5.362	115.8118	14.8397	4.6586	116.85158222844053
5.373	115.5091	15.0115	4.6562	116.57348546517771
5.382	115.5091	15.0115	4.6562	116.57348546517771
5.392	115.0375	15.1115	4.5289	116.11414545054362
5.403	114.8956	15.064	4.4061	115.96265223152669
5.413	114.7987	15.0242	4.2832	115.85686820197583
